acc,acc_std,bal_acc,bal_acc_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,macro_auc,macro_auc_std,Epithelioid_Precision,Epithelioid_Recall,Epithelioid_F1,Biphasic_Precision,Biphasic_Recall,Biphasic_F1,Sarcomatoid_Precision,Sarcomatoid_Recall,Sarcomatoid_F1,Encoder,MIL,Loss,Experiment
0.7196,0.0156,0.3333,0.0000,0.2789,0.0035,0.6023,0.0207,0.7450,0.0717,0.7195,1.0000,0.8369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,UNI,ABMIL,Cross-Entropy,UNI+ABMIL+CE
0.7072,0.0306,0.3275,0.0083,0.2760,0.0071,0.5962,0.0275,0.7566,0.0314,0.7160,0.9831,0.8286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,UNI,ABMIL,Focal Loss,UNI+ABMIL+Focal
0.6812,0.1247,0.5672,0.0957,0.5181,0.0629,0.6696,0.1029,0.7861,0.0190,0.8113,0.7288,0.7679,0.4231,0.6471,0.5116,0.6667,0.3333,0.4444,UNI,ABMIL,Class-Balanced CE,UNI+ABMIL+CB_CE
0.6459,0.0380,0.4548,0.0703,0.3948,0.0344,0.6358,0.0255,0.7452,0.0089,0.8400,0.7119,0.7706,0.3667,0.6471,0.4681,0.0000,0.0000,0.0000,UNI,ABMIL,Inv-Freq Weighted CE,UNI+ABMIL+Weighted_CE
0.6702,0.0347,0.3362,0.0443,0.3077,0.0573,0.6038,0.0298,0.7111,0.0461,0.7260,0.8983,0.8030,0.2500,0.1176,0.1600,0.0000,0.0000,0.0000,UNI,TransMIL,Cross-Entropy,UNI+TransMIL+CE
0.7196,0.0455,0.4547,0.1031,0.4715,0.1307,0.6872,0.0562,0.7427,0.0688,0.7681,0.8983,0.8281,0.5000,0.2941,0.3704,0.3333,0.1667,0.2222,UNI,TransMIL,Focal Loss,UNI+TransMIL+Focal
0.7063,0.0637,0.5245,0.1365,0.5023,0.1077,0.6869,0.0471,0.7372,0.0935,0.7778,0.8305,0.8033,0.4667,0.4118,0.4375,0.5000,0.3333,0.4000,UNI,TransMIL,Class-Balanced CE,UNI+TransMIL+CB_CE
0.7063,0.0637,0.4985,0.0968,0.4647,0.0539,0.6714,0.0473,0.6961,0.0701,0.7612,0.8644,0.8095,0.4545,0.2941,0.3571,0.5000,0.3333,0.4000,UNI,TransMIL,Inv-Freq Weighted CE,UNI+TransMIL+Weighted_CE
0.7196,0.0156,0.3333,0.0000,0.2789,0.0035,0.6023,0.0207,0.6391,0.0370,0.7195,1.0000,0.8369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CONCH,ABMIL,Cross-Entropy,CONCH+ABMIL+CE
0.7196,0.0156,0.3333,0.0000,0.2789,0.0035,0.6023,0.0207,0.6729,0.0471,0.7195,1.0000,0.8369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,CONCH,ABMIL,Focal Loss,CONCH+ABMIL+Focal
