Experiment,Overall Acc,Balanced Acc,Macro-F1,Weighted-F1,Macro-AUC
UNI+ABMIL+CB_CE,0.6812,0.5672,0.5181,0.6696,0.7861
UNI+TransMIL+CB_CE,0.7063,0.5245,0.5023,0.6869,0.7372
CONCH+TransMIL+Weighted_CE,0.7072,0.5053,0.4685,0.6805,0.6117
UNI+TransMIL+Weighted_CE,0.7063,0.4985,0.4647,0.6714,0.6961
CONCH+ABMIL+Weighted_CE,0.7196,0.4926,0.4779,0.6824,0.7205
UNI+ABMIL+Weighted_CE,0.6459,0.4548,0.3948,0.6358,0.7452
UNI+TransMIL+Focal,0.7196,0.4547,0.4715,0.6872,0.7427
Virchow2+ABMIL+Weighted_CE,0.5974,0.4282,0.4204,0.6052,0.5864
Virchow2+TransMIL+CB_CE,0.6689,0.4205,0.4202,0.6673,0.5609
CONCH+TransMIL+CB_CE,0.6706,0.4195,0.4229,0.6342,0.5778
ResNet50+TransMIL+CB_CE,0.6349,0.4068,0.4027,0.5902,0.5981
CONCH+TransMIL+Focal,0.6587,0.3933,0.3696,0.6333,0.6316
CONCH+TransMIL+CE,0.7438,0.3907,0.3717,0.6652,0.6023
Virchow2+TransMIL+CE,0.7063,0.3904,0.3822,0.6328,0.6848
CONCH+ABMIL+CB_CE,0.6239,0.3862,0.3860,0.6159,0.6433
ResNet50+TransMIL+Focal,0.6839,0.3846,0.3732,0.6466,0.5431
Virchow2+ABMIL+CB_CE,0.5961,0.3643,0.3398,0.5860,0.5610
Virchow2+TransMIL+Weighted_CE,0.6583,0.3639,0.3552,0.6230,0.6128
Virchow2+TransMIL+Focal,0.6953,0.3516,0.3262,0.6227,0.6824
UNI+TransMIL+CE,0.6702,0.3362,0.3077,0.6038,0.7111
ResNet50+ABMIL+Weighted_CE,0.5481,0.3334,0.3461,0.5396,0.5025
CONCH+ABMIL+Focal,0.7196,0.3333,0.2789,0.6023,0.6729
UNI+ABMIL+CE,0.7196,0.3333,0.2789,0.6023,0.7450
CONCH+ABMIL+CE,0.7196,0.3333,0.2789,0.6023,0.6391
ResNet50+ABMIL+Focal,0.7196,0.3333,0.2789,0.6023,0.5327
Virchow2+ABMIL+CE,0.7196,0.3333,0.2789,0.6023,0.6557
Virchow2+ABMIL+Focal,0.7196,0.3333,0.2789,0.6023,0.6465
ResNet50+ABMIL+CE,0.7196,0.3333,0.2789,0.6023,0.4432
UNI+ABMIL+Focal,0.7072,0.3275,0.2760,0.5962,0.7566
ResNet50+TransMIL+CE,0.6706,0.3108,0.2676,0.5777,0.5119
ResNet50+ABMIL+CB_CE,0.5123,0.2927,0.2770,0.5127,0.5188
ResNet50+TransMIL+Weighted_CE,0.6221,0.2880,0.2575,0.5561,0.4794
