Experiment,Epithelioid,Biphasic,Sarcomatoid
UNI+ABMIL+CB_CE,0.7679,0.5116,0.4444
UNI+TransMIL+Weighted_CE,0.8095,0.3571,0.4000
UNI+TransMIL+CB_CE,0.8033,0.4375,0.4000
ResNet50+TransMIL+CB_CE,0.7656,0.0769,0.4000
CONCH+ABMIL+Weighted_CE,0.8346,0.3077,0.3636
CONCH+TransMIL+CB_CE,0.7874,0.2667,0.2857
Virchow2+ABMIL+Weighted_CE,0.7321,0.3111,0.2857
Virchow2+TransMIL+CE,0.8296,0.0909,0.2857
CONCH+TransMIL+Weighted_CE,0.8130,0.4444,0.2857
ResNet50+ABMIL+Weighted_CE,0.6942,0.1176,0.2222
UNI+TransMIL+Focal,0.8281,0.3704,0.2222
CONCH+ABMIL+CE,0.8369,0.0000,0.0000
UNI+TransMIL+CE,0.8030,0.1600,0.0000
UNI+ABMIL+CE,0.8369,0.0000,0.0000
UNI+ABMIL+Focal,0.8286,0.0000,0.0000
UNI+ABMIL+Weighted_CE,0.7706,0.4681,0.0000
CONCH+TransMIL+CE,0.8529,0.2727,0.0000
CONCH+TransMIL+Focal,0.7869,0.3333,0.0000
CONCH+ABMIL+Focal,0.8369,0.0000,0.0000
CONCH+ABMIL+CB_CE,0.7458,0.3889,0.0000
Virchow2+ABMIL+CB_CE,0.7414,0.2927,0.0000
Virchow2+TransMIL+Focal,0.8209,0.1667,0.0000
Virchow2+ABMIL+Focal,0.8369,0.0000,0.0000
Virchow2+ABMIL+CE,0.8369,0.0000,0.0000
Virchow2+TransMIL+Weighted_CE,0.7874,0.2857,0.0000
Virchow2+TransMIL+CB_CE,0.7966,0.4444,0.0000
ResNet50+ABMIL+Focal,0.8369,0.0000,0.0000
ResNet50+ABMIL+CE,0.8369,0.0000,0.0000
ResNet50+ABMIL+CB_CE,0.6667,0.1860,0.0000
ResNet50+TransMIL+CE,0.8029,0.0000,0.0000
ResNet50+TransMIL+Focal,0.8095,0.3125,0.0000
ResNet50+TransMIL+Weighted_CE,0.7727,0.0000,0.0000
